Radial Chord Twist Sweep Anhedral
m m deg m m
0.609600 0.507873 -20.049 0.000000 0.000000
0.628650 0.505714 -20.676 0.000000 0.000000
0.634149 0.505091 -20.857 0.000000 0.000000
0.647700 0.503555 -21.302 0.000000 0.000000
0.653041 0.502950 -21.478 0.000000 0.000000
0.655320 0.502691 -21.553 0.000000 0.000000
0.662940 0.501828 -21.803 0.000000 0.000000
0.671739 0.500831 -22.093 0.000000 0.000000
0.678180 0.500101 -22.305 0.000000 0.000000
0.685800 0.499237 -22.555 0.000000 0.000000
0.744244 0.492613 -24.477 0.000000 0.000000
0.762000 0.490601 -25.061 0.000000 0.000000
0.777240 0.488874 -24.868 0.000000 0.000000
0.834432 0.482392 -24.140 0.000000 0.000000
0.876300 0.477647 -23.607 0.000000 0.000000
0.952500 0.469011 -22.179 0.000000 0.000000
1.040130 0.459080 -20.634 0.000000 0.000000
1.143000 0.447421 -19.591 0.000000 0.000000
1.238250 0.436626 -18.625 0.000000 0.000000
1.281327 0.431744 -18.031 0.000000 0.000000
1.485900 0.408559 -15.213 0.000000 0.000000
1.524000 0.404241 -14.688 0.000000 0.000000
1.837853 0.368671 -10.933 0.000000 0.000000
1.935480 0.357607 -9.765 0.000000 0.000000
2.095500 0.339471 -7.938 0.000000 0.000000
2.286000 0.317881 -5.875 0.000000 0.000000
2.514600 0.291973 -3.431 0.000000 0.000000
2.628900 0.279019 -2.252 0.000000 0.000000
2.689860 0.272110 -1.673 0.000000 0.000000
2.964180 0.241021 0.935 0.000000 0.000000
3.033014 0.233219 1.556 0.000000 0.000000
3.154650 0.219434 2.654 0.000000 0.000000
3.219450 0.212090 3.240 0.000000 0.000000
3.276600 0.205613 3.771 0.000000 0.000000
3.284220 0.204749 3.843 0.000000 0.000000
3.295650 0.203454 3.951 0.000000 0.000000
3.303270 0.202590 4.024 0.000000 0.000000
3.343275 0.198056 4.403 0.000000 0.000000
3.348990 0.197409 4.457 0.000000 0.000000
3.356610 0.196545 4.529 0.000000 0.000000
3.364230 0.195682 4.602 0.000000 0.000000
3.371850 0.194818 4.674 0.000000 0.000000
3.377370 0.194192 4.726 0.000000 0.000000
3.402330 0.191364 4.963 0.000000 0.000000
3.409950 0.190500 5.035 0.000000 0.000000
3.429000 0.188341 5.216 0.000000 0.000000
3.436620 0.187477 5.289 0.000000 0.000000
3.442195 0.186846 5.343 0.000000 0.000000
3.467100 0.184023 5.583 0.000000 0.000000
3.474720 0.183159 5.656 0.000000 0.000000
3.482340 0.182296 5.730 0.000000 0.000000
3.524250 0.177546 6.133 0.000000 0.000000
3.528534 0.177060 6.174 0.000000 0.000000
3.562350 0.173228 6.500 0.000000 0.000000
3.581400 0.171069 6.687 0.000000 0.000000
3.619500 0.166751 7.062 0.000000 0.000000
3.627333 0.165863 7.140 0.000000 0.000000
3.657600 0.162433 7.437 0.000000 0.000000
3.686175 0.159194 7.719 0.000000 0.000000
3.695700 0.158115 7.812 0.000000 0.000000
3.714750 0.155956 8.000 0.000000 0.000000
3.752850 0.151638 8.350 0.000000 0.000000
3.757665 0.151092 8.379 0.000000 0.000000
3.810000 0.145161 8.700 0.000000 0.000000
ENDTABLE
